Phylum,Class,Order,Family,Genus,Species,aphiaID,species_filter,method
Echinodermata,Echinoidea,Echinolampadacea,Echinarachniidae,Echinarachnius,Echinarachnius parma,158062,echinarachnius parma,edna
Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Strongylocentrotus droebachiensis,124321,strongylocentrotus droebachiensis,edna
Hemichordata,Enteropneusta,Enteropneusta incertae sedis,Harrimaniidae,Saccoglossus,Saccoglossus kowalevskii,137600,saccoglossus kowalevskii,traditional
Mollusca,Bivalvia,Cardiida,Tellinidae,Ameritella,Ameritella agilis,878476,ameritella agilis,both
Mollusca,Gastropoda,Caenogastropoda incertae sedis,Cerithiidae,Bittiolum,Bittiolum varium,160174,bittiolum varium,both
Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,Crassostrea virginica,140657,crassostrea virginica,both
Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Crepidula fornicata,138963,crepidula fornicata,both
Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Ecrobia,Ecrobia truncata,574096,ecrobia truncata,both
Mollusca,Bivalvia,Venerida,Veneridae,Gemma,Gemma gemma,156803,gemma gemma,both
Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminella,Haminella solitaria,1342053,haminella solitaria,both
Mollusca,Gastropoda,Neogastropoda,Nassariidae,Ilyanassa,Ilyanassa trivittata,467492,ilyanassa trivittata,both
Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Lacuna,Lacuna vincta,140170,lacuna vincta,both
Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina littorea,140262,littorina littorea,both
Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina obtusata,140263,littorina obtusata,both
Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,Littorina saxatilis,140264,littorina saxatilis,both
Mollusca,Gastropoda,Ellobiida,Ellobiidae,Melampus,Melampus bidentatus,160368,melampus bidentatus,both
Mollusca,Bivalvia,Venerida,Mactridae,Mulinia,Mulinia lateralis,156870,mulinia lateralis,both
Mollusca,Bivalvia,Myida,Myidae,Mya,Mya arenaria,140430,mya arenaria,both
Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis,140480,mytilus edulis,both
Mollusca,Bivalvia,Cardiida,Cardiidae,Parvicardium,Parvicardium pinnulatum,181343,parvicardium pinnulatum,both
Mollusca,Bivalvia,Venerida,Veneridae,Petricolaria,Petricolaria pholadiformis,156961,petricolaria pholadiformis,both
Mollusca,Gastropoda,NA,Lottiidae,Testudinalia,Testudinalia testudinalis,234208,testudinalia testudinalis,both
Mollusca,Gastropoda,NA,Pyramidellidae,Turbonilla,Turbonilla powhatani,160088,turbonilla powhatani,both
Mollusca,Gastropoda,NA,Limapontiidae,Alderia,Alderia modesta,141555,alderia modesta,edna
Mollusca,Gastropoda,NA,Pyramidellidae,Boonea,Boonea bisuturalis,397024,boonea bisuturalis,edna
Mollusca,Gastropoda,Nudibranchia,Trinchesiidae,Catriona,Catriona gymnota,141611,catriona gymnota,edna
Mollusca,Gastropoda,Nudibranchia,Coryphellidae,Coryphella,Coryphella verrucosa,139987,coryphella verrucosa,edna
Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,Crepidula convexa,160228,crepidula convexa,edna
Mollusca,Cephalopoda,Myopsida,Loliginidae,Doryteuthis,Doryteuthis pealeii,574541,doryteuthis pealeii,edna
Mollusca,Gastropoda,Nudibranchia,Dotidae,Doto,Doto coronata,139631,doto coronata,edna
Mollusca,Gastropoda,NA,Plakobranchidae,Elysia,Elysia catulus,160278,elysia catulus,edna
Mollusca,Gastropoda,NA,Limapontiidae,Ercolania,Ercolania fuscata,160304,ercolania fuscata,edna
Mollusca,Bivalvia,Mytilida,Mytilidae,Geukensia,Geukensia demissa,156859,geukensia demissa,edna
Mollusca,Bivalvia,Cardiida,Tellinidae,Limecola,Limecola petalum,880026,limecola petalum,edna
Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,Margarites helicinus,141821,margarites helicinus,edna
Mollusca,Bivalvia,Mytilida,Modiolidae,Modiolus,Modiolus modiolus,140467,modiolus modiolus,edna
Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus trossulus,140482,mytilus trossulus,edna
Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris,Onchidoris muricata,140640,onchidoris muricata,edna
Mollusca,Gastropoda,Littorinimorpha,Cochliopidae,Spurwinkia,Spurwinkia salsa,160412,spurwinkia salsa,edna
Mollusca,Gastropoda,Nudibranchia,Trinchesiidae,Tenellia,Tenellia adspersa,141639,tenellia adspersa,edna
Mollusca,Gastropoda,Nudibranchia,Tergipedidae,Tergipes,Tergipes tergipes,141641,tergipes tergipes,edna
Mollusca,Gastropoda,Cephalaspidea,Tornatinidae,Acteocina,Acteocina canaliculata,160065,acteocina canaliculata,traditional
Mollusca,Bivalvia,Pectinida,Anomiidae,Anomia,Anomia simplex,156737,anomia simplex,traditional
Mollusca,Gastropoda,Neogastropoda,Columbellidae,Astyris,Astyris lunata,160102,astyris lunata,traditional
Mollusca,Bivalvia,Carditida,Carditidae,Cyclocardia,Cyclocardia borealis,156832,cyclocardia borealis,traditional
Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,Ensis leei,876640,ensis leei,traditional
Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,Hiatella arctica,140103,hiatella arctica,traditional
Mollusca,Gastropoda,Neogastropoda,Nassariidae,Ilyanassa,Ilyanassa obsoleta,467490,ilyanassa obsoleta,traditional
Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,Macoma balthica,141579,macoma balthica,traditional
Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,Mercenaria mercenaria,141919,mercenaria mercenaria,traditional
Mollusca,Gastropoda,NA,Pyramidellidae,Odostomia,NA,138413,odostomia,traditional
Mollusca,Bivalvia,Solemyida,Solemyidae,Petrasma,Petrasma borealis,1465606,petrasma borealis,traditional
Mollusca,Gastropoda,Littorinimorpha,Rissoidae,NA,NA,123,rissoidae,traditional
Nemertea,Pilidiophora,Heteronemertea,Lineidae,Cerebratulus,Cerebratulus lacteus,147322,cerebratulus lacteus,both
Nemertea,Pilidiophora,Heteronemertea,Lineidae,Parvicirrus,Parvicirrus dubius,155924,parvicirrus dubius,edna
Nemertea,Pilidiophora,Heteronemertea,Lineidae,Lineus,Lineus ruber,122536,lineus ruber,traditional
Platyhelminthes,NA,Rhabdocoela,Promesostomidae,Astrotorhynchus,Astrotorhynchus hakaiensis,1079201,astrotorhynchus hakaiensis,edna
Platyhelminthes,NA,Dolichomicrostomida,Microstomidae,Microstomum,Microstomum septentrionale,142799,microstomum septentrionale,edna
Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,Cliona celata,134121,cliona celata,edna
Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria bowerbanki,132588,halichondria bowerbanki,edna
Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,Halichondria panicea,132627,halichondria panicea,edna
Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,Haliclona oculata,236327,haliclona oculata,edna
